Rank,Overall Acc,Model,Model Link,Organization,License,AST Summary,Exec Summary,Simple Function AST,Python Simple Function AST,Java Simple Function AST,JavaScript Simple Function AST,Multiple Functions AST,Parallel Functions AST,Parallel Multiple AST,Simple Function Exec,Python Simple Function Exec,REST Simple Function Exec,Multiple Functions Exec,Parallel Functions Exec,Parallel Multiple Exec,Relevance Detection,Cost ($ Per 1k Function Calls),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s)
1,96.25%,Microsoft/Phi-3-medium-4k-instruct (.txt + Prompt),https://huggingface.co/microsoft/Phi-3-medium-4k-instruct,Microsoft,MIT,24.06%,0.00%,96.25%,96.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,N/A,N/A,N/A,N/A
2,94.50%,GPT-4-0125-Preview (Prompt),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,23.62%,0.00%,94.50%,94.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,N/A,N/A,N/A,N/A
3,92.00%,mistralai/Mistral-7B-Instruct-v0.3 (.txt + FC),https://docs.mistral.ai/guides/model-selection/,Mistral AI,Proprietary,23.00%,0.00%,92.00%,92.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,N/A,N/A,N/A,N/A
4,91.00%,GPT-4-1106-Preview (FC),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,22.75%,0.00%,91.00%,91.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,N/A,N/A,N/A,N/A
5,90.50%,GPT-4-turbo-2024-04-09 (FC),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,22.62%,0.00%,90.50%,90.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,N/A,N/A,N/A,N/A
6,89.00%,mistralai/Mistral-7B-Instruct-v0.2 (.txt),https://docs.mistral.ai/guides/model-selection/,Mistral AI,Apache 2.0,22.25%,0.00%,89.00%,89.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,N/A,N/A,N/A,N/A
7,86.75%,Microsoft/Phi-3-medium-4k-instruct (Prompt),https://huggingface.co/microsoft/Phi-3-medium-4k-instruct,Microsoft,MIT,21.69%,0.00%,86.75%,86.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,N/A,N/A,N/A,N/A
8,77.75%,GPT-3.5-Turbo-0125 (Prompting),https://platform.openai.com/docs/models/gpt-3-5-turbo,OpenAI,Proprietary,19.44%,0.00%,77.75%,77.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,N/A,N/A,N/A,N/A
9,76.00%,mistralai/Mistral-7B-Instruct-v0.3 (FC),https://docs.mistral.ai/guides/model-selection/,Mistral AI,Apache 2.0,19.00%,0.00%,76.00%,76.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,N/A,N/A,N/A,N/A
10,65.00%,mistralai/Mistral-7B-Instruct-v0.2 (Prompt),https://docs.mistral.ai/guides/model-selection/,Mistral AI,Apache 2.0,16.25%,0.00%,65.00%,65.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
